item_name,spec,item
CEOS ARD Product Attributes,ORB-v1.0,1.7
Look Direction Polynomials,ORB-v1.0,1.7.12
Product Filtering,ORB-v1.0,1.7.6
Product Number of Looks,ORB-v1.0,1.7.4
Product Resolution,ORB-v1.0,1.7.5
Geoid Incident Angle Image,ORB-v1.0,2.3
Look Direction Image,ORB-v1.0,2.7
Per-Pixel Geoid,ORB-v1.0,2.6
Mean Wind- Normalised Backscatter Measurements,ORB-v1.0,3.4
Geoid Elevation Model,ORB-v1.0,4.2
