item_name,spec,item
Geographical Bounding Box,NRB-v5.0,1.7.5
Geographical Image Extent,NRB-v5.0,1.7.6
Map projection,NRB-v5.0,1.7.10
Product Attributes,NRB-v5.0,1.7
Acquisition Date Image   ,NRB-v5.0,2.8
